M,K,N,block_x,block_y,time_taken_ms
1,784,256,4,7,0.0438690185546875
1,784,256,4,8,0.04482269287109375
1,784,256,4,9,0.04553794860839844
1,784,256,4,10,0.0457763671875
1,784,256,4,11,0.05340576171875
1,784,256,4,12,0.04482269287109375
1,784,256,4,13,0.045299530029296875
1,784,256,4,14,0.04482269287109375
1,784,256,4,15,0.04601478576660156
1,784,256,4,16,0.04553794860839844
1,784,256,4,17,0.04482269287109375
1,784,256,4,18,0.04553794860839844
1,784,256,4,19,0.04458427429199219
1,784,256,4,20,0.044345855712890625
1,784,256,4,21,0.0457763671875
1,784,256,4,22,0.044345855712890625
1,784,256,4,23,0.044345855712890625
1,784,256,4,24,0.0457763671875
1,784,256,4,25,0.04649162292480469
1,784,256,4,26,0.045299530029296875
1,784,256,4,27,0.045299530029296875
1,784,256,4,28,0.04553794860839844
1,784,256,4,29,0.04482269287109375
1,784,256,4,30,0.046253204345703125
1,784,256,4,31,0.04482269287109375
1,784,256,4,32,0.04601478576660156
1,784,256,5,1,0.041484832763671875
1,784,256,5,2,0.04172325134277344
1,784,256,5,3,0.04124641418457031
1,784,256,5,4,0.041484832763671875
1,784,256,5,5,0.04124641418457031
1,784,256,5,6,0.04172325134277344
1,784,256,5,7,0.041961669921875
1,784,256,5,8,0.041961669921875
1,784,256,5,9,0.04291534423828125
1,784,256,5,10,0.043392181396484375
1,784,256,5,11,0.043392181396484375
1,784,256,5,12,0.04220008850097656
1,784,256,5,13,0.042438507080078125
1,784,256,5,14,0.041961669921875
1,784,256,5,15,0.042438507080078125
1,784,256,5,16,0.041961669921875
1,784,256,5,17,0.041484832763671875
1,784,256,5,18,0.04172325134277344
1,784,256,5,19,0.041961669921875
1,784,256,5,20,0.041484832763671875
1,784,256,5,21,0.04029273986816406
1,784,256,5,22,0.041484832763671875
1,784,256,5,23,0.04124641418457031
1,784,256,5,24,0.041484832763671875
1,784,256,5,25,0.04267692565917969
1,784,256,5,26,0.04076957702636719
1,784,256,5,27,0.04076957702636719
1,784,256,5,28,0.04100799560546875
1,784,256,5,29,0.04100799560546875
1,784,256,5,30,0.04124641418457031
1,784,256,5,31,0.04076957702636719
1,784,256,5,32,0.041484832763671875
1,784,256,6,1,0.04029273986816406
1,784,256,6,2,0.038623809814453125
1,784,256,6,3,0.03933906555175781
1,784,256,6,4,0.038623809814453125
1,784,256,6,5,0.03933906555175781
1,784,256,6,6,0.03886222839355469
1,784,256,6,7,0.03814697265625
1,784,256,6,8,0.03886222839355469
1,784,256,6,9,0.039577484130859375
1,784,256,6,10,0.03910064697265625
1,784,256,6,11,0.03838539123535156
1,784,256,6,12,0.046253204345703125
1,784,256,6,13,0.0400543212890625
1,784,256,6,14,0.03814697265625
1,784,256,6,15,0.03838539123535156
1,784,256,6,16,0.03790855407714844
1,784,256,6,17,0.03790855407714844
1,784,256,6,18,0.03838539123535156
1,784,256,6,19,0.03814697265625
1,784,256,6,20,0.03910064697265625
1,784,256,6,21,0.03814697265625
1,784,256,6,22,0.038623809814453125
1,784,256,6,23,0.038623809814453125
1,784,256,6,24,0.04458427429199219
1,784,256,6,25,0.03886222839355469
1,784,256,6,26,0.03814697265625
1,784,256,6,27,0.03814697265625
1,784,256,6,28,0.03814697265625
1,784,256,6,29,0.03886222839355469
1,784,256,6,30,0.038623809814453125
1,784,256,6,31,0.03814697265625
1,784,256,6,32,0.03886222839355469
1,784,256,7,1,0.03719329833984375
1,784,256,7,2,0.03695487976074219
1,784,256,7,3,0.03719329833984375
1,784,256,7,4,0.03695487976074219
1,784,256,7,5,0.037670135498046875
1,784,256,7,6,0.03695487976074219
1,784,256,7,7,0.03719329833984375
1,784,256,7,8,0.037670135498046875
1,784,256,7,9,0.036716461181640625
1,784,256,7,10,0.03719329833984375
1,784,256,7,11,0.03719329833984375
1,784,256,7,12,0.03695487976074219
1,784,256,7,13,0.037670135498046875
1,784,256,7,14,0.036716461181640625
1,784,256,7,15,0.03743171691894531
1,784,256,7,16,0.03695487976074219
1,784,256,7,17,0.039577484130859375
1,784,256,7,18,0.037670135498046875
1,784,256,7,19,0.03695487976074219
1,784,256,7,20,0.03695487976074219
1,784,256,7,21,0.036716461181640625
1,784,256,7,22,0.036716461181640625
1,784,256,7,23,0.03743171691894531
1,784,256,7,24,0.03719329833984375
1,784,256,7,25,0.03695487976074219
1,784,256,7,26,0.03719329833984375
1,784,256,7,27,0.03695487976074219
1,784,256,7,28,0.03814697265625
1,784,256,7,29,0.042438507080078125
1,784,256,7,30,0.03743171691894531
1,784,256,7,31,0.03695487976074219
1,784,256,7,32,0.03719329833984375
1,784,256,8,1,0.03552436828613281
1,784,256,8,2,0.034809112548828125
1,784,256,8,3,0.03552436828613281
1,784,256,8,4,0.03552436828613281
1,784,256,8,5,0.03504753112792969
1,784,256,8,6,0.03552436828613281
1,784,256,8,7,0.034809112548828125
1,784,256,8,8,0.0362396240234375
1,784,256,8,9,0.05507469177246094
1,784,256,8,10,0.035762786865234375
1,784,256,8,11,0.03600120544433594
1,784,256,8,12,0.0362396240234375
1,784,256,8,13,0.0476837158203125
1,784,256,8,14,0.03528594970703125
1,784,256,8,15,0.03528594970703125
1,784,256,8,16,0.03528594970703125
1,784,256,8,17,0.03504753112792969
1,784,256,8,18,0.03528594970703125
1,784,256,8,19,0.034809112548828125
1,784,256,8,20,0.034809112548828125
1,784,256,8,21,0.034809112548828125
1,784,256,8,22,0.03814697265625
1,784,256,8,23,0.03600120544433594
1,784,256,8,24,0.035762786865234375
1,784,256,8,25,0.03647804260253906
1,784,256,8,26,0.034809112548828125
1,784,256,8,27,0.03552436828613281
1,784,256,8,28,0.03504753112792969
1,784,256,8,29,0.03504753112792969
1,784,256,8,30,0.03504753112792969
1,784,256,8,31,0.03528594970703125
1,784,256,8,32,0.03528594970703125
1,784,256,9,1,0.03504753112792969
1,784,256,9,2,0.041961669921875
1,784,256,9,3,0.034809112548828125
1,784,256,9,4,0.03457069396972656
1,784,256,9,5,0.034809112548828125
1,784,256,9,6,0.03552436828613281
1,784,256,9,7,0.03504753112792969
1,784,256,9,8,0.034809112548828125
1,784,256,9,9,0.034809112548828125
1,784,256,9,10,0.03457069396972656
1,784,256,9,11,0.03504753112792969
1,784,256,9,12,0.03457069396972656
1,784,256,9,13,0.03528594970703125
1,784,256,9,14,0.034332275390625
1,784,256,9,15,0.04172325134277344
1,784,256,9,16,0.03457069396972656
1,784,256,9,17,0.03457069396972656
1,784,256,9,18,0.03504753112792969
1,784,256,9,19,0.034332275390625
1,784,256,9,20,0.03457069396972656
1,784,256,9,21,0.03409385681152344
1,784,256,9,22,0.03457069396972656
1,784,256,9,23,0.03504753112792969
1,784,256,9,24,0.033855438232421875
1,784,256,9,25,0.03409385681152344
1,784,256,9,26,0.03409385681152344
1,784,256,9,27,0.033855438232421875
1,784,256,9,28,0.04076957702636719
1,784,256,9,29,0.03504753112792969
1,784,256,9,30,0.033855438232421875
1,784,256,9,31,0.03457069396972656
1,784,256,9,32,0.033855438232421875
1,784,256,10,1,0.034332275390625
1,784,256,10,2,0.034332275390625
1,784,256,10,3,0.033855438232421875
1,784,256,10,4,0.033855438232421875
1,784,256,10,5,0.033855438232421875
1,784,256,10,6,0.03409385681152344
1,784,256,10,7,0.03409385681152344
1,784,256,10,8,0.03409385681152344
1,784,256,10,9,0.033855438232421875
1,784,256,10,10,0.034809112548828125
1,784,256,10,11,0.03504753112792969
1,784,256,10,12,0.033855438232421875
1,784,256,10,13,0.033855438232421875
1,784,256,10,14,0.034332275390625
1,784,256,10,15,0.034332275390625
1,784,256,10,16,0.03457069396972656
1,784,256,10,17,0.03457069396972656
1,784,256,10,18,0.033855438232421875
1,784,256,10,19,0.033855438232421875
1,784,256,10,20,0.033855438232421875
1,784,256,10,21,0.03457069396972656
1,784,256,10,22,0.033855438232421875
1,784,256,10,23,0.03528594970703125
1,784,256,10,24,0.033855438232421875
1,784,256,10,25,0.034332275390625
1,784,256,10,26,0.034332275390625
1,784,256,10,27,0.03409385681152344
1,784,256,10,28,0.034332275390625
1,784,256,10,29,0.033855438232421875
1,784,256,10,30,0.03361701965332031
1,784,256,10,31,0.03337860107421875
1,784,256,10,32,0.03361701965332031
1,784,256,11,1,0.034332275390625
1,784,256,11,2,0.03361701965332031
1,784,256,11,3,0.03337860107421875
1,784,256,11,4,0.040531158447265625
1,784,256,11,5,0.033855438232421875
1,784,256,11,6,0.034332275390625
1,784,256,11,7,0.03314018249511719
1,784,256,11,8,0.03337860107421875
1,784,256,11,9,0.03409385681152344
1,784,256,11,10,0.033855438232421875
1,784,256,11,11,0.034332275390625
1,784,256,11,12,0.03337860107421875
1,784,256,11,13,0.03409385681152344
1,784,256,11,14,0.033855438232421875
1,784,256,11,15,0.03337860107421875
1,784,256,11,16,0.03409385681152344
1,784,256,11,17,0.03361701965332031
1,784,256,11,18,0.035762786865234375
1,784,256,11,19,0.03409385681152344
1,784,256,11,20,0.03361701965332031
1,784,256,11,21,0.03409385681152344
1,784,256,11,22,0.03361701965332031
1,784,256,11,23,0.033855438232421875
1,784,256,11,24,0.033855438232421875
1,784,256,11,25,0.03337860107421875
1,784,256,11,26,0.03457069396972656
1,784,256,11,27,0.03361701965332031
1,784,256,11,28,0.03409385681152344
1,784,256,11,29,0.03361701965332031
1,784,256,11,30,0.034332275390625
1,784,256,11,31,0.04267692565917969
1,784,256,11,32,0.033855438232421875
1,784,256,12,1,0.03409385681152344
1,784,256,12,2,0.033855438232421875
1,784,256,12,3,0.03337860107421875
1,784,256,12,4,0.034332275390625
1,784,256,12,5,0.03337860107421875
1,784,256,12,6,0.03337860107421875
1,784,256,12,7,0.03361701965332031
1,784,256,12,8,0.03361701965332031
1,784,256,12,9,0.034809112548828125
1,784,256,12,10,0.03337860107421875
1,784,256,12,11,0.03361701965332031
1,784,256,12,12,0.03409385681152344
1,784,256,12,13,0.03409385681152344
1,784,256,12,14,0.033855438232421875
1,784,256,12,15,0.03361701965332031
1,784,256,12,16,0.03457069396972656
1,784,256,12,17,0.03361701965332031
1,784,256,12,18,0.03337860107421875
1,784,256,12,19,0.033855438232421875
1,784,256,12,20,0.05555152893066406
1,784,256,12,21,0.03528594970703125
1,784,256,12,22,0.03457069396972656
1,784,256,12,23,0.03457069396972656
1,784,256,12,24,0.033855438232421875
1,784,256,12,25,0.04267692565917969
1,784,256,12,26,0.03457069396972656
1,784,256,12,27,0.03361701965332031
1,784,256,12,28,0.03361701965332031
1,784,256,12,29,0.03361701965332031
1,784,256,12,30,0.033855438232421875
1,784,256,12,31,0.034332275390625
1,784,256,12,32,0.033855438232421875
1,784,256,13,1,0.03361701965332031
1,784,256,13,2,0.03314018249511719
1,784,256,13,3,0.03361701965332031
1,784,256,13,4,0.03409385681152344
1,784,256,13,5,0.03337860107421875
1,784,256,13,6,0.033855438232421875
1,784,256,13,7,0.03552436828613281
1,784,256,13,8,0.033855438232421875
1,784,256,13,9,0.033855438232421875
1,784,256,13,10,0.03337860107421875
1,784,256,13,11,0.03361701965332031
1,784,256,13,12,0.03361701965332031
1,784,256,13,13,0.033855438232421875
1,784,256,13,14,0.03409385681152344
1,784,256,13,15,0.033855438232421875
1,784,256,13,16,0.03361701965332031
1,784,256,13,17,0.03409385681152344
1,784,256,13,18,0.033855438232421875
1,784,256,13,19,0.033855438232421875
1,784,256,13,20,0.0400543212890625
1,784,256,13,21,0.03361701965332031
1,784,256,13,22,0.03409385681152344
1,784,256,13,23,0.03361701965332031
1,784,256,13,24,0.034332275390625
1,784,256,13,25,0.03361701965332031
1,784,256,13,26,0.03409385681152344
1,784,256,13,27,0.032901763916015625
1,784,256,13,28,0.03361701965332031
1,784,256,13,29,0.03337860107421875
1,784,256,13,30,0.033855438232421875
1,784,256,13,31,0.033855438232421875
1,784,256,13,32,0.03314018249511719
